"k";"m";"nword";"count1";"count2";"count3";"clock span"
170;1000000;6622;12000000;75758;1000570;1077
180;1000000;6622;12000001;75691;1000571;1151
180;1000000;6622;12000001;75686;1000572;1150
180;1000000;6622;12000001;75621;1000573;1149
180;1000000;6622;12000001;75746;1000574;1149
180;1000000;6622;12000001;75683;1000575;1149
180;1000000;6622;12000001;75678;1000576;1151
180;1000000;6622;12000000;75617;1000577;1150
180;1000000;6622;12000001;75662;1000578;1150
180;1000000;6622;12000001;75603;1000579;1149
180;1000000;6622;12000000;75598;1000580;1149
190;1000000;6622;12000001;75541;1000581;1198
190;1000000;6622;12000001;75650;1000582;1200
190;1000000;6622;12000000;75595;1000583;1199
190;1000000;6622;12000001;75590;1000584;1199
190;1000000;6622;12000001;75537;1000585;1196
190;1000000;6622;12000001;75574;1000586;1199
190;1000000;6622;12000001;75523;1000587;1198
190;1000000;6622;12000001;75518;1000588;1200
190;1000000;6622;12000001;75469;1000589;1200
190;1000000;6622;12000000;75570;1000590;1200
200;1000000;6622;12000001;75523;1000591;1267
200;1000000;6622;12000001;75518;1000592;1262
200;1000000;6622;12000000;75473;1000593;1264
200;1000000;6622;12000001;75502;1000594;1265
200;1000000;6622;12000001;75459;1000595;1264
200;1000000;6622;12000000;75454;1000596;1264
200;1000000;6622;12000001;75413;1000597;1265
200;1000000;6622;12000001;75454;1000598;1263
200;1000000;6622;12000001;75415;1000599;1264
200;1000000;6622;12000001;75410;1000600;1266
10;10000000;6622;120000001;75373;10000601;1345
10;10000000;6622;120000001;75410;10000602;1315
10;10000000;6622;120000000;75375;10000603;1310
10;10000000;6622;120000001;75370;10000604;1308
10;10000000;6622;120000001;75337;10000605;1309
10;10000000;6622;120000000;75370;10000606;1309
10;10000000;6622;120000001;75339;10000607;1309
10;10000000;6622;120000001;75334;10000608;1308
10;10000000;6622;120000000;75305;10000609;1311
10;10000000;6622;120000001;75334;10000610;1308
20;10000000;6622;120000001;75307;10000611;1839
20;10000000;6622;120000001;75302;10000612;1837
20;10000000;6622;120000001;75277;10000613;1839
20;10000000;6622;120000001;75306;10000614;1836
20;10000000;6622;120000001;75283;10000615;1837
20;10000000;6622;120000000;75278;10000616;1841
20;10000000;6622;120000001;75257;10000617;1840
20;10000000;6622;120000001;75260;10000618;1839
20;10000000;6622;120000000;75241;10000619;1837
20;10000000;6622;120000001;75244;10000620;1840
30;10000000;6622;120000001;75227;10000621;2476
30;10000000;6622;120000000;75230;10000622;2474
30;10000000;6622;120000001;75215;10000623;2478
30;10000000;6622;120000001;75218;10000624;2470
30;10000000;6622;120000000;75205;10000625;2473
30;10000000;6622;120000001;75210;10000626;2470
30;10000000;6622;120000001;75199;10000627;2478
30;10000000;6622;120000000;75193;10000628;2475
30;10000000;6622;120000001;75188;10000629;2477
30;10000000;6622;120000001;75184;10000630;2474
40;10000000;6622;120000000;75181;10000631;3019
40;10000000;6622;120000001;75179;10000632;3024
40;10000000;6622;120000001;75178;10000633;3022
40;10000000;6622;120000000;75177;10000634;3024
40;10000000;6622;120000000;75177;10000634;3025
40;10000000;6622;120000000;75177;10000634;3023
40;10000000;6622;120000000;75177;10000634;3019
40;10000000;6622;120000000;75177;10000634;3020
40;10000000;6622;120000000;75177;10000634;3019
40;10000000;6622;120000000;75177;10000634;3018
50;10000000;6622;120000000;75177;10000634;3566
50;10000000;6622;120000000;75177;10000634;3569
50;10000000;6622;120000000;75177;10000634;3602
50;10000000;6622;120000000;75177;10000634;3844
50;10000000;6622;120000000;75177;10000634;3838
50;10000000;6622;120000000;75177;10000634;3861
50;10000000;6622;120000000;75177;10000634;3817
50;10000000;6622;120000000;75177;10000634;3833
50;10000000;6622;120000000;75177;10000634;3911
50;10000000;6622;120000000;75177;10000634;3930
60;10000000;6622;120000000;75177;10000634;4436
60;10000000;6622;120000000;75177;10000634;4431
60;10000000;6622;120000000;75177;10000634;4417
60;10000000;6622;120000000;75177;10000634;4358
60;10000000;6622;120000000;75177;10000634;4363
60;10000000;6622;120000000;75177;10000634;4836
60;10000000;6622;120000000;75177;10000634;4653
60;10000000;6622;120000000;75177;10000634;4555
